"Year","bt_anomaly","sst_anomaly","Heatwave","GSI","calfin_100m3","pseudo_100m3","Age.1","SSB","RSSB","lAGE1"
1982,-0.920583009233333,NA,NA,-0.660399436848197,-0.370346233267287,0.160921573006175,0.8114,8.86880822290252,NA,0.594100026958711
1983,-0.5869513729,-0.669139301133164,42.6707,-0.534840006976242,-0.182377329551082,0.533611743136913,0.8172,6.22904425886697,0.0921431582982807,0.597296854903111
1984,-0.365974024233333,-0.239473229554081,84.0123,-0.41417164248509,-0.562266621813427,0.0102460532194165,0.2751,5.50590273125419,0.0441640785596279,0.243024606907359
1985,-0.0471247048999999,0.0681624849773605,63.1244,0.532816879673857,-0.0926189516724092,-0.290107167348283,0.0657,5.72782121647157,0.0119326481427023,0.0636318602447735
1986,0.413636313766668,-0.494290833156157,NA,0.822440195501882,-0.24453751558776,-0.242293195671044,0.377,4.53410700838957,0.0658190934653924,0.319907219746518
1987,0.264101685100001,-0.287436511204916,NA,0.0859130436107923,-0.209237648357326,-0.315033059645287,0.1342,3.0424921212908,0.0295978898935747,0.125927556597791
1988,-0.193105339233332,-0.525532023175762,NA,-0.40035375087114,-0.102800393803951,-0.458877826032487,0.552,2.61719243015496,0.181430215098079,0.439544421761027
1989,-0.0462626203999994,-0.0437530105297963,4.9868,-0.333103835730265,NA,NA,0.2628,3.25216734501949,0.100412945174398,0.233331477701699
1990,-0.158655523233333,-0.0163755108781238,15.0636,-0.726076714550305,NA,NA,0.1141,3.73980345695212,0.0350842954544568,0.108046904083134
1991,0.211117553933334,-0.104528677206368,56.4989,-0.141984897530972,-0.557207777171207,-0.647034872458087,0.1695,4.02296222400403,0.0453232374243912,0.156576307042097
1992,0.212283963933334,0.352230776711012,NA,0.679139972922163,0.0238670744254445,0.0643287083193924,0.0435,6.47862253215269,0.0108129277825295,0.0425804475351185
1993,-0.599289940899999,-0.944341235662694,NA,0.149762280416319,NA,NA,0.1035,1.7690849449493,0.0159756181945068,0.098486946714654
1994,0.114853990433334,-0.484229667812267,24.1372,0.765588424067488,0.115362022028121,0.371618167808811,0.0801,0.70970204023593,0.0452776449365441,0.0770536294422915
1995,0.639567114933334,0.307300854333343,53.5133,1.01686401041893,-0.110450313664573,-0.380007986307009,0.0515,2.16981104204071,0.0725656642932569,0.0502177161606175
1996,0.2511030291,-0.44299208731324,NA,0.985549709273262,0.0769551312681029,-0.0764586677146891,0,5.07603691917208,0,0
1997,0.199297786433334,-0.635016922855693,NA,-0.435507131676117,-0.292933082430207,0.553559788868772,0.34,4.5398991207816,0.0669813883180848,0.29266961396282
1998,0.0127489131000003,-0.459956341585617,NA,-0.363091344922054,0.174093765393154,0.160789205969565,0.0987,5.14008778969533,0.0217405711832221,0.0941276627246982
1999,-0.4213825834,0.0445303436964508,16.2461,-0.0808085135920332,-0.135425789011411,-0.129145277365678,0.4662,3.77588732538198,0.0906988399954222,0.382674019807349
2000,0.840852073266667,1.07283195525237,93.414,1.3069420355016,-0.201673442494318,-0.138063339230889,0.823,2.66117813843362,0.21796201239049,0.600483495696526
2001,0.2304291431,0.176537092048809,44.4548,0.974646966093961,0.0434679145224096,-0.301841610629968,0.0638,6.26010890692776,0.023974343948862,0.0618474033260802
2002,0.444433622433333,0.610484756722867,35.0932,0.168849637083855,0.355939874669882,0.307376814854318,0.3362,7.94901908471823,0.0537051359646385,0.28982976450924
2003,0.269673637766667,0.360914476519616,68.0017,1.27561292766416,0.295044847165083,-0.758954241621088,0.0615,12.5828726081194,0.00773680366653441,0.0596830021611738
2004,-0.378347507566666,-0.313934708476021,NA,0.195663037644744,0.586076319538586,0.13786328262655,0.587,1.83271723073233,0.046650714688252,0.461845441544272
2005,-0.930978307233334,-0.795843110404517,18.0033,-0.0526353850754563,0.385284136723607,0.156631240007454,0.0908,2.45418490917979,0.0495439222578365,0.0869113719892964
2006,0.0777937764333334,-0.302496179799975,40.1919,-0.0793470105174983,-0.0430449552446578,-0.672130767570436,0.3715,2.32842619660686,0.151374087017819,0.315905031395521
2007,0.594648065266666,0.406015094821383,89.8951,-0.0887396658833567,-0.012498867286762,-0.415447209202771,0.3578,10.9339794266091,0.153666025799491,0.30586574288541
2008,-0.5421911689,-0.339958168607259,14.6883,-0.741179562236028,-0.112514736441754,-0.66480065512081,0.6801,7.35856065547765,0.0622005926172587,0.51885331545322
2009,-0.203266799733333,0.710977539315639,47.7373,0.0764827457675314,0.134969103644636,-0.133996488741743,0.2409,2.14779069202751,0.0327373804849561,0.215836922798437
