"year","population","ssb.apx","ssb.st","r","ryplus1","bt_anomaly","sst_anomaly","rps.apx","rps.st"
1981,"winter",14910.3515573071,14910.3515573071,40416.4886457753,14999.6206135584,NA,NA,1.00598705241176,1.00598705241176
1982,"winter",23777.0291708222,23777.0291708222,14999.6206135584,20125.3729191017,-0.920583009233333,NA,0.846420836451613,0.846420836451613
1983,"winter",21847.8477532931,22985.132978807,20125.3729191017,1138.33354328798,-0.5869513729,-0.669139301133164,0.0521027771770516,0.049524775181312
1984,"winter",15842.2720192255,17582.1747265393,1138.33354328798,2584.5274484466,-0.365974024233333,-0.239473229554081,0.163141211393803,0.146997029016291
1985,"winter",10451.5250443529,8629.6995779061,2584.5274484466,5901.77455477221,-0.0471247048999999,0.0681624849773605,0.564680707334763,0.683891078883213
1986,"winter",9137.31081772694,8009.9802622931,5901.77455477221,36.715047258449,0.413636313766668,-0.494290833156157,0.00401814581892295,0.00458366263788248
1987,"winter",10112.9849056935,9448.11738594201,36.715047258449,14072.2372445449,0.264101685100001,-0.287436511204916,1.39150185388118,1.48942235470986
1988,"winter",10209.3396512274,10209.3396512274,14072.2372445449,3516.93196842875,-0.193105339233332,-0.525532023175762,0.344481826305576,0.344481826305576
1989,"winter",11408.7585424808,11408.7585424808,3516.93196842875,5174.63964302587,-0.0462626203999994,-0.0437530105297963,0.453567285498939,0.453567285498939
1990,"winter",11297.4679247485,11297.4679247485,5174.63964302587,620.660527265428,-0.158655523233333,-0.0163755108781238,0.0549380207493926,0.0549380207493926
1991,"winter",8002.61192308152,8002.61192308152,620.660527265428,676.039932982249,0.211117553933334,-0.104528677206368,0.0844774105604673,0.0844774105604673
1992,"winter",5968.41377258331,5968.41377258331,676.039932982249,8380.18135407406,0.212283963933334,0.352230776711012,1.40408853564569,1.40408853564569
1993,"winter",5319.48706633212,5407.6110990575,8380.18135407406,1448.18902261115,-0.599289940899999,-0.944341235662694,0.272242230228732,0.26780569018056
